,dataset,feature number,candicateNumber,randomNumber
0,Adiac,2048,45517,10240
1,Beef,1024,11533,5120
2,CBF,2048,2111,2111
3,ChlorineConcentration,64,49595,320
4,CinCECGTorso,1024,59548,5120
5,Coffee,1024,6160,5120
6,CricketX,1024,87632,5120
7,CricketY,1024,88141,5120
8,CricketZ,2048,87787,10240
9,DiatomSizeReduction,512,4321,2560
10,ECG200,1024,4340,4340
11,ECGFiveDays,128,1841,640
12,FaceAll,512,46314,2560
13,FaceFour,512,6249,2560
14,FacesUCR,1024,16487,5120
15,FiftyWords,2048,89508,10240
16,Fish,1024,67749,5120
17,GunPoint,2048,4398,4398
18,Haptics,1024,142598,5120
19,InlineSkate,2048,169616,10240
20,ItalyPowerDemand,128,619,619
21,Lightning2,2048,2584,2584
22,Lightning7,1024,5200,5120
23,Mallat,1024,50771,5120
24,MedicalImages,512,16763,2560
25,MoteStrain,512,683,683
26,OliveOil,512,14708,2560
27,OSULeaf,2048,70143,10240
28,SonyAIBORobotSurface1,64,411,320
29,SonyAIBORobotSurface2,256,529,529
30,StarLightCurves,1024,925688,5120
31,SwedishLeaf,2048,35471,10240
32,Symbols,512,7853,2560
33,SyntheticControl,1024,4176,4176
34,Trace,64,20774,320
35,TwoLeadECG,256,811,811
36,TwoPatterns,2048,69297,10240
37,UWaveGestureLibraryX,2048,90461,10240
38,UWaveGestureLibraryY,2048,84787,10240
39,UWaveGestureLibraryZ,2048,95333,10240
40,Wafer,256,81095,1280
41,WordSynonyms,2048,53176,10240
42,Yoga,1024,105683,5120
